address,price,options,price_m2
"Rua DAS CARNAUBAS Norte, Aguas Claras",673.987,"[' Apartamento 97 m²', '3 quartos', 'Em Construção', '1 planta']",
"SHIN QI 16, LAGO NORTE, BRASILIA",2.200.000,"['Venda Casa 523 m²', '5 Quartos', '5 Suítes', '5 Vagas']",4.206
"Quadra 2, SOBRADINHO, SOBRADINHO",130.000,"['Venda Kitnet 30 m²', '1 Quarto']",4.333
"SQS 415 Bloco D, ASA SUL, BRASILIA",790.000,"['Venda Apartamento 81 m²', '3 Quartos', '1 Suíte']",9.635
"SQSW 500 Bloco Q Sudoeste, Brasilia",Sob Consulta,"[' Apartamento 175 m²', '4 quartos', 'Lançamento', '1 planta']",
"SQNW 302, NOROESTE, BRASILIA",804.000,"['Venda Apartamento 64 m²', '2 Quartos', '2 Suítes', '2 Vagas']",12.562
"Avenida Contorno Área Especial 7, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",520.000,"['Venda Casa 120 m²', '3 Quartos', '1 Suíte', '2 Vagas']",4.333
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",950.000,"['Venda Casa Condominio 254 m²', '3 Quartos', '3 Suítes', '2 Vagas']",3.740
"SQNW 110 Bloco A Noroeste, Brasilia",2.295.688,"[' Apartamento 197 m²', '4 quartos', 'Em Construção', '1 planta']",
"QN 320 Conjunto 11, SAMAMBAIA SUL, SAMAMBAIA",198.000,"['Venda Apartamento 37 m²', '1 Quarto', '1 Suíte', '1 Vaga']",5.351
"QR 612, SAMAMBAIA NORTE, SAMAMBAIA",188.000,"['Venda Apartamento 51 m²', '2 Quartos', '1 Vaga']",3.686
"SQNW 106, NOROESTE, BRASILIA",2.095.349,"['Venda Apartamento 143 m²', '4 Quartos', '2 Suítes', '3 Vagas']",14.591
"SQNW 304 Bloco E Noroeste, Brasilia",A partir de 2.280.925,"[' Apartamento 164 a 380 m²', '4 quartos', 'Na Planta', '7 plantas']",
"Rua 37, NORTE, AGUAS CLARAS",345.000,"['Venda Apartamento 47 m²', '1 Quarto', '1 Vaga']",7.340
"SHIN QI 9 Conjunto 11, LAGO NORTE, BRASILIA",2.200.000,"['Venda Casa 570 m²', '9 Quartos', '4 Suítes', '4 Vagas']",3.859
"SQNW 310 Bloco C, NOROESTE, BRASILIA",535.000,"['Venda Apartamento 33 m²', '1 Quarto', '1 Vaga']",16.212
"SQNW 302 Bloco A Noroeste, Brasilia",A partir de 993.933,"[' Apartamento 64 a 179 m²', '2 quartos', 'Lançamento', '3 plantas']",
"SMPW Quadra 17, PARK WAY, BRASILIA",3.200.000,"['Venda Casa 500 m²', '4 Quartos', '4 Suítes', '4 Vagas']",6.400
"CA 08, LAGO NORTE, BRASILIA",340.000,"['Venda Kitnet 33 m²', '1 Quarto', '1 Suíte', '1 Vaga']",10.303
"QNL 1 Bloco D, TAGUATINGA NORTE, TAGUATINGA",168.000,"['Venda Apartamento 64 m²', '2 Quartos', '1 Vaga']",2.625
"RODOVIA DF 0250 KM 1,5 Regiao Dos Lagos, Sobradinho",1.549.000,"[' Casa Condominio 425 m²', '3 quartos', 'Pronto Para Morar', '1 planta']",
"Rua 36, SUL, AGUAS CLARAS",650.000,"['Venda Apartamento 77 m²', '3 Quartos', '1 Suíte', '1 Vaga']",8.441
"Rua ALECRIM, NORTE, AGUAS CLARAS",645.000,"['Venda Apartamento 92 m²', '3 Quartos', '1 Suíte', '2 Vagas']",6.982
"SMPW Quadra 19, PARK WAY, BRASILIA",3.450.000,"['Venda Casa Condominio 1100 m²', '5 Quartos', '5 Suítes', '6 Vagas']",3.136
"SQSW 500 Bloco R Sudoeste, Brasilia",Sob Consulta,"[' Apartamento 139 m²', '3 quartos', 'Lançamento', '1 planta']",
"Avenida Parque Águas Claras Quadra 301 Conjunto 04, NORTE, AGUAS CLARAS",310.000,"['Venda Apartamento 54 m²', '2 Quartos', '1 Vaga']",5.740
"CA 05, LAGO NORTE, BRASILIA",756.000,"['Venda Apartamento 61 m²', '2 Quartos', '1 Suíte', '1 Vaga']",12.393
"SQNW 310 Bloco C, NOROESTE, BRASILIA",498.000,"['Venda Apartamento 33 m²', '1 Quarto', '1 Suíte', '1 Vaga']",14.777
"Quadra 1 Bloco F Jardim Botanico, Brasilia",110.000,"[' Lote 360 m²', 'Pronto Para Morar', '1 planta']",
"QNF 20, TAGUATINGA NORTE, TAGUATINGA",620.000,"['Venda Casa 252 m²', '5 Quartos', '1 Suíte', '3 Vagas']",2.459
"SQSW 300, SUDOESTE, BRASILIA",2.750.000,"['Venda Apartamento 183 m²', '4 Quartos', '3 Suítes', '3 Vagas']",15.027
"SQS 207, ASA SUL, BRASILIA",2.200.000,"['Venda Apartamento 175 m²', '3 Quartos', '1 Suíte', '1 Vaga']",12.571
"SQNW 106 Bloco D Noroeste, Brasilia",A partir de 4.529.596,"[' Apartamento 333 m²', '4 quartos', 'Em Construção', '3 plantas']",
"Avenida Flamboyant, NORTE, AGUAS CLARAS",750.000,"['Venda Apartamento 137 m²', '4 Quartos', '2 Suítes', '1 Vaga']",5.474
"SQN 310, ASA NORTE, BRASILIA",2.200.000,"['Venda Apartamento 175 m²', '4 Quartos', '4 Suítes', '2 Vagas']",12.571
"SQS 306 Bloco H, ASA SUL, BRASILIA",1.270.000,"['Venda Apartamento 154 m²', '3 Quartos', '1 Suíte']",8.246
"SQSW 500 Bloco Q Sudoeste, Brasilia",Sob Consulta,"[' Apartamento 346 m²', '4 quartos', 'Lançamento', '1 planta']",
"QRSW 5, SUDOESTE, BRASILIA",550.000,"['Venda Apartamento 62 m²', '2 Quartos']",8.870
"SHIN QI 12 Conjunto 8, LAGO NORTE, BRASILIA",2.500.000,"['Venda Casa 380 m²', '4 Quartos', '3 Suítes', '2 Vagas']",6.578
"SQN 115 Bloco H, ASA NORTE, BRASILIA",1.190.000,"['Venda Apartamento 103 m²', '3 Quartos', '1 Suíte', '1 Vaga']",11.553
"SQNW 102 Bloco E Noroeste, Brasilia",A partir de 2.101.895,"[' Apartamento 131 m²', '3 quartos', 'Em Construção', '3 plantas']",
"QE 30 Conjunto A, GUARA II, GUARA",950.000,"['Venda Casa 265 m²', '4 Quartos', '2 Suítes', '4 Vagas']",3.584
"SCRN 706/707 Bloco A, ASA NORTE, BRASILIA",189.000,"['Venda Hotel Flat 33 m²', '1 Quarto']",5.727
"SMPW Quadra 1, PARK WAY, BRASILIA",3.695.000,['Venda Lote/Terreno 7500 m²'],492
"SQNW 106 Bloco C Noroeste, Brasilia",A partir de 2.688.173,"[' Apartamento 200 a 429 m²', '4 quartos', 'Lançamento', '7 plantas']",
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",570.000,"['Venda Apartamento 97 m²', '3 Quartos', '1 Suíte', '1 Vaga']",5.876
"SQS 205, ASA SUL, BRASILIA",820.000,"['Venda Apartamento 88 m²', '2 Quartos', '1 Suíte']",9.318
"CA 09, LAGO NORTE, BRASILIA",210.000,"['Venda Kitnet 29 m²', '1 Quarto', '1 Suíte', '1 Vaga']",7.241
"SQNW 102 Bloco L Noroeste, Brasilia",A partir de 2.718.435,"[' Apartamento 175 m²', '4 quartos', 'Em Construção', '3 plantas']",
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",365.000,['Venda Lote/Terreno 504 m²'],724
"Rua BURITI, SUL, AGUAS CLARAS",630.000,"['Venda Apartamento 82 m²', '3 Quartos', '1 Suíte', '1 Vaga']",7.682
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",1.130.000,"['Venda Apartamento 215 m²', '3 Quartos', '2 Suítes', '2 Vagas']",5.255
"SQNW 102 Bloco E Noroeste, Brasilia",A partir de 3.842.949,"[' Apartamento 263 m²', '3 quartos', 'Em Construção', '3 plantas']",
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",570.000,"['Venda Apartamento 97 m²', '3 Quartos', '1 Suíte', '1 Vaga']",5.876
"SHIS QI 19, LAGO SUL, BRASILIA",2.850.000,"['Venda Casa 487 m²', '4 Quartos', '4 Suítes', '4 Vagas']",5.852
"SQNW 104 Bloco A, NOROESTE, BRASILIA",1.076.929,"['Venda Apartamento 86 m²', '2 Quartos', '1 Suíte', '1 Vaga']",12.392
"SQNW 310 Bloco E Noroeste, Brasilia",878.274,"[' Apartamento 74 m²', '2 quartos', 'Em Construção', '1 planta']",
"SHIS QI 23, LAGO SUL, BRASILIA",5.200.000,"['Venda Casa 675 m²', '5 Quartos', '5 Suítes', '5 Vagas']",7.703
"Condomínio Morada de Deus, JARDIM BOTANICO, BRASILIA",1.100.000,"['Venda Casa Condominio 237 m²', '3 Quartos', '3 Suítes', '2 Vagas']",4.641
"QE 38 Conjunto A, GUARA II, GUARA",345.000,"['Venda Casa 90 m²', '3 Quartos', '2 Vagas']",3.833
"SQNW 106 Bloco H Noroeste, Brasilia",A partir de 1.047.073,"[' Apartamento 76 a 180 m²', '2 quartos', 'Em Construção', '9 plantas']",
