Cidade,Bairro,Preco,M²,Tipo,Suíte,Quarto,Vaga
brasilia,asa-norte,,,,,,
brasilia,asa-norte,205000.0,25,Kitnet,1,,
brasilia,asa-norte,170000.0,35,Loja,,,
brasilia,asa-norte,215503.0,25,Kitnet,,1,1
brasilia,asa-norte,,387,a,,4,
brasilia,asa-norte,320000.0,42,Apartamento,1,1,
brasilia,asa-norte,860000.0,80,Apartamento,,2,1
brasilia,asa-norte,165000.0,27,Apartamento,,1,
brasilia,asa-norte,,250,a,,3,
brasilia,asa-norte,1190000.0,103,Apartamento,1,3,1
brasilia,asa-norte,190000.0,33,Flat,,1,
brasilia,asa-norte,560000.0,68,Apartamento,1,2,
brasilia,asa-norte,1365000.0,123,Apartamento,1,3,1
brasilia,asa-norte,425000.0,67,Apartamento,,2,
brasilia,asa-norte,494000.0,42,Apartamento,,1,1
brasilia,asa-norte,1299900.0,119,Apartamento,1,3,1
brasilia,asa-norte,649000.0,75,Apartamento,,3,
brasilia,asa-norte,335000.0,49,Apartamento,,1,
brasilia,asa-norte,120000.0,20,Kitnet,,1,
brasilia,asa-norte,670860.0,40,Apartamento,1,1,1
brasilia,asa-norte,1660000.0,158,Apartamento,2,4,2
brasilia,asa-norte,2100000.0,166,Apartamento,1,4,2
brasilia,asa-norte,1350000.0,140,Apartamento,2,2,2
brasilia,asa-norte,240000.0,33,Sala,,,
brasilia,asa-norte,749999.0,98,Loja,,,
brasilia,asa-norte,210000.0,26,Loja,,,
brasilia,asa-norte,165000.0,22,Sala,,,
brasilia,asa-norte,990000.0,161,Casa,1,3,2
brasilia,asa-norte,594000.0,39,Apartamento,1,1,1
brasilia,asa-norte,205000.0,30,Kitnet,,1,
brasilia,asa-norte,250000.0,24,Sala,,,1
brasilia,asa-norte,260000.0,36,Flat,1,1,
brasilia,asa-norte,130000.0,29,Apartamento,1,1,
brasilia,asa-norte,280000.0,33,Sala,,,
brasilia,asa-norte,180000.0,27,Apartamento,,1,
brasilia,asa-norte,320000.0,28,Flat,1,1,1
brasilia,asa-norte,400000.0,86,Sala,,,
brasilia,asa-norte,1600000.0,243,Sala,,,
brasilia,asa-norte,1400000.0,131,Apartamento,1,3,1
brasilia,asa-norte,1299000.0,123,Apartamento,1,3,1
brasilia,asa-norte,320000.0,43,Sala,,,
brasilia,asa-norte,280000.0,43,Kitnet,,1,
brasilia,asa-norte,1050000.0,111,Apartamento,1,3,1
brasilia,asa-norte,280000.0,32,Flat,1,1,
brasilia,asa-norte,220000.0,29,Kitnet,,1,
brasilia,asa-norte,450000.0,31,Apartamento,1,1,2
brasilia,asa-norte,310000.0,29,Flat,,1,
brasilia,asa-norte,1380000.0,220,Casa,1,3,3
brasilia,asa-norte,850000.0,76,Apartamento,1,3,
brasilia,asa-norte,267965.0,29,Kitnet,1,1,1
brasilia,asa-norte,1079000.0,80,Apartamento,1,2,1
brasilia,asa-norte,1490000.0,135,Apartamento,1,4,1
brasilia,asa-norte,360000.0,32,Flat,1,1,
brasilia,asa-norte,1145000.0,74,Apartamento,1,2,2
brasilia,asa-norte,1723000.0,127,Apartamento,3,3,3
brasilia,asa-norte,99000.0,23,Sala,,,
brasilia,asa-norte,749500.0,91,Apartamento,1,3,
brasilia,asa-norte,2000000.0,163,Apartamento,2,3,
brasilia,asa-norte,550000.0,96,Loja,,,
brasilia,asa-norte,290000.0,42,Apartamento,,1,
brasilia,asa-norte,1700000.0,391,Loja,,,
brasilia,asa-norte,2200000.0,194,Apartamento,2,4,2
brasilia,asa-norte,190000.0,32,Sala,,,
brasilia,asa-sul,2200000.0,175,Apartamento,1,3,1
brasilia,asa-sul,1270000.0,154,Apartamento,1,3,
brasilia,asa-sul,1550000.0,178,Apartamento,1,3,
brasilia,asa-sul,1490000.0,293,Casa,1,4,4
brasilia,asa-sul,895000.0,100,Apartamento,,2,
brasilia,asa-sul,628504.0,48,Apartamento,1,1,1
brasilia,asa-sul,2300000.0,480,Casa,4,5,2
brasilia,asa-sul,1450000.0,247,Casa,2,7,2
brasilia,asa-sul,1300000.0,85,Apartamento,,3,1
