Bairro;Valor;Area;Tipo;Suíte;Quarto;Vaga
asa-norte;215503.0;25.0;Kitnet;;1.0;1.0
asa-norte;320000.0;42.0;Apartamento;1.0;1.0;
asa-norte;860000.0;80.0;Apartamento;;2.0;1.0
asa-norte;165000.0;27.0;Apartamento;;1.0;
asa-norte;1190000.0;103.0;Apartamento;1.0;3.0;1.0
asa-norte;560000.0;68.0;Apartamento;1.0;2.0;
asa-norte;1365000.0;123.0;Apartamento;1.0;3.0;1.0
asa-norte;425000.0;67.0;Apartamento;;2.0;
asa-norte;494000.0;42.0;Apartamento;;1.0;1.0
asa-norte;1299900.0;119.0;Apartamento;1.0;3.0;1.0
asa-norte;649000.0;75.0;Apartamento;;3.0;
asa-norte;335000.0;49.0;Apartamento;;1.0;
asa-norte;120000.0;20.0;Kitnet;;1.0;
asa-norte;670860.0;40.0;Apartamento;1.0;1.0;1.0
asa-norte;1660000.0;158.0;Apartamento;2.0;4.0;2.0
asa-norte;2100000.0;166.0;Apartamento;1.0;4.0;2.0
asa-norte;1350000.0;140.0;Apartamento;2.0;2.0;2.0
asa-norte;990000.0;161.0;Casa;1.0;3.0;2.0
asa-norte;594000.0;39.0;Apartamento;1.0;1.0;1.0
asa-norte;205000.0;30.0;Kitnet;;1.0;
asa-norte;130000.0;29.0;Apartamento;1.0;1.0;
asa-norte;180000.0;27.0;Apartamento;;1.0;
asa-norte;1400000.0;131.0;Apartamento;1.0;3.0;1.0
asa-norte;1299000.0;123.0;Apartamento;1.0;3.0;1.0
asa-norte;280000.0;43.0;Kitnet;;1.0;
asa-norte;1050000.0;111.0;Apartamento;1.0;3.0;1.0
asa-norte;220000.0;29.0;Kitnet;;1.0;
asa-norte;450000.0;31.0;Apartamento;1.0;1.0;2.0
asa-norte;1380000.0;220.0;Casa;1.0;3.0;3.0
asa-norte;850000.0;76.0;Apartamento;1.0;3.0;
asa-norte;267965.0;29.0;Kitnet;1.0;1.0;1.0
asa-norte;1079000.0;80.0;Apartamento;1.0;2.0;1.0
asa-norte;1490000.0;135.0;Apartamento;1.0;4.0;1.0
asa-norte;1145000.0;74.0;Apartamento;1.0;2.0;2.0
asa-norte;1723000.0;127.0;Apartamento;3.0;3.0;3.0
asa-norte;749500.0;91.0;Apartamento;1.0;3.0;
asa-norte;2000000.0;163.0;Apartamento;2.0;3.0;
asa-norte;290000.0;42.0;Apartamento;;1.0;
asa-norte;2200000.0;194.0;Apartamento;2.0;4.0;2.0
asa-sul;2200000.0;175.0;Apartamento;1.0;3.0;1.0
asa-sul;1270000.0;154.0;Apartamento;1.0;3.0;
asa-sul;1550000.0;178.0;Apartamento;1.0;3.0;
asa-sul;1490000.0;293.0;Casa;1.0;4.0;4.0
asa-sul;895000.0;100.0;Apartamento;;2.0;
asa-sul;628504.0;48.0;Apartamento;1.0;1.0;1.0
asa-sul;2300000.0;480.0;Casa;4.0;5.0;2.0
asa-sul;1450000.0;247.0;Casa;2.0;7.0;2.0
asa-sul;1300000.0;85.0;Apartamento;;3.0;1.0
asa-sul;1900000.0;170.0;Apartamento;1.0;4.0;1.0
asa-sul;1700000.0;476.0;Casa;3.0;5.0;1.0
asa-sul;560000.0;56.0;Apartamento;;1.0;1.0
asa-sul;230000.0;26.0;Kitnet;;1.0;
asa-sul;1400000.0;154.0;Apartamento;1.0;3.0;
asa-sul;550000.0;60.0;Apartamento;;2.0;
asa-sul;1250000.0;104.0;Apartamento;2.0;3.0;1.0
asa-sul;1595000.0;120.0;Apartamento;1.0;3.0;1.0
asa-sul;360000.0;54.0;Apartamento;;1.0;
asa-sul;412000.0;35.0;Apartamento;1.0;1.0;
asa-sul;1250000.0;320.0;Casa;2.0;4.0;1.0
asa-sul;1215000.0;108.0;Apartamento;1.0;3.0;1.0
asa-sul;2200000.0;158.0;Apartamento;2.0;3.0;1.0
asa-sul;1050000.0;54.0;Apartamento;1.0;1.0;1.0
asa-sul;1650000.0;172.0;Apartamento;1.0;3.0;1.0
asa-sul;1450000.0;348.0;Casa;1.0;4.0;1.0
asa-sul;1790000.0;178.0;Apartamento;1.0;4.0;1.0
asa-sul;490000.0;63.0;Apartamento;;3.0;
asa-sul;2000000.0;160.0;Apartamento;1.0;3.0;1.0
asa-sul;495000.0;57.0;Apartamento;1.0;2.0;
asa-sul;1270000.0;134.0;Apartamento;;3.0;
asa-sul;1280000.0;160.0;Apartamento;;3.0;
asa-sul;1900000.0;170.0;Apartamento;1.0;4.0;1.0
