value,address_1,address_2,areas,bedrooms,spaces,bathrooms
consulta,SQSW 500 Bloco R, Setor Sudoeste,275,3,4,5
consulta,SQSW 500 Bloco Q, Setor Sudoeste,175,4,4,6
consulta,SQSW 500 Bloco P, Setor Sudoeste,472,4,5,6
340.000,Avenida Comercial, Setor Habitacional Jardim Botânico,400,,,
110.000,SGAS 902, Asa Sul,360,,,
5.500.000,SHIS QI 9, Setor de Habitacoes Individuais Sul,974,7,14,8
1.300.000,SQN 107 Bloco G, Asa Norte,112,3,,2
590.000,SQS 414 Bloco I, Asa Sul,89,3,,2
260.000,Quadra 3 Comércio Local 20, Sobradinho,55,2,,2
1.170.000,SQS 206 Bloco F, Asa Sul,86,3,1,2
2.400.000,SQN 116 Bloco B, Asa Norte,173,4,2,4
340.000,QMS 5, Sobradinho,243,4,4,5
265.000,Quadra 14 Conjunto B-6, Sobradinho,83,2,2,2
695.000,Asa Sul, Brasília,81,3,,2
310.000,Vila Varjão do Torto, Varjão,130,3,2,2
180.000,Condomínio Uberaba Conjunto B, Sobradinho,200,4,5,3
330.000,Quadra 205 Conjunto 22, Recanto das Emas,150,4,3,1
247.000,QS 316 Conjunto 6, Samambaia Sul,52,2,1,2
140.000,Condomínio Colorado Ville, Grande Colorado,65,2,,2
189.993,Setor Industrial, Brasília,320,,,
249.000,CNB, Taguatinga Norte,70,3,1,1
400.000,Veredas, Brasília,200,3,4,2
650.000,ES 4B, Setor de Mansões de Sobradinho,272,3,4,3
550.000,QS 14 Conjunto 2A, Riacho Fundo I,144,3,3,3
consulta,SQSW 500 Bloco P, Setor Sudoeste,472,4,5,6
consulta,SQSW 500 Bloco R, Setor Sudoeste,139,3,3,5
consulta,SQSW 500 Bloco Q, Setor Sudoeste,346,4,4,6
110.000,SGAS 902, Asa Sul,360,,,
500.000,Sul, Brasília,75,2,1,2
1.150.000,SEPS 714/914, Asa Sul,114,,1,3
270.000,QNP 28 Conjunto Z, Ceilandia Sul,143,3,4,2
435.000,Rua 25, Norte,60,2,1,2
160.000,QR 425 Conjunto 19, Samambaia Norte,145,3,2,3
217.000,QS 1 Rua 212, Areal,37,,1,1
320.000,QNO 9 Conjunto E, Ceilandia Norte,100,3,3,2
325.000,QNO 6 Conjunto I, Ceilandia Norte,144,3,3,2
299.900,QNM 23 Conjunto K, Ceilandia Sul,250,3,4,1
309.000,Quadra Central Conjunto B Bloco B, Sobradinho,60,2,1,2
220.000,QS 8 Conjunto 3, Riacho Fundo II,140,3,2,3
85.000,QNP 11 Conjunto H, Ceilandia Norte,120,3,4,2
475.000,CA 5, Lago Norte,58,2,1,1
660.000,QR 406, Samambaia Norte,246,4,3,3
680.000,Rua 5, Setor Habitacional Vicente Pires,360,3,2,5
1.900.000,Setor Habitacional Vicente Pires, Brasília,550,4,8,3
850.000,Chácara 13, Riacho Fundo I,300,4,10,4
280.000,Santa Maria, Brasília,175,3,4,3
225.000,QR 417 Conjunto 16, Samambaia Norte,75,2,3,2
380.000,Rodovia BR-020, Alto da Boa Vista,504,,,
693.096,SHCGN 703, Asa Norte,39 - 102 m²,1,1,1
consulta,SGAN 910 Módulo D, Asa Norte,29 - 51 m²,1,1 - 2,1
3.859.216,SQNW 102 Bloco I, Setor Noroeste,195,4,4,5
2.500.000,Condomínio São Mateus, Setor Habitacional Jardim Botânico,20000,1,,1
350.000,Riacho Fundo I, Brasília,200,3,2,3
900.000,CA 11, Lago Norte,78,3,2,3
1.350.000,Alameda das Acácias Quadra 107, Aguas Claras,139,3,3,5
279.000,Quadra 102 Conjunto 6, Recanto das Emas,80,4,2,2
220.000,QN 106 Conjunto 1, Samambaia,56,2,1,2
390.000,Rua 25, Sul,62,2,1,2
660.000,Chácara 67, Setor Habitacional Vicente Pires Trecho 3,600,3,4,4
169.900,QNP 23 Conjunto E, Ceilandia Norte,80,2,2,1
219.900,QR 510, Samambaia Sul,105,3,3,2
460.000,Quadra 201, Aguas Claras,74,2,2,2
185.000,QS 407, Samambaia Norte,47,2,1,1
320.000,QNP 10 Conjunto Q, Ceilandia Sul,144,3,3,2
287.000,QN 415 Conjunto A, Samambaia,150,3,2,2
48.000,SMHN, Asa Norte,12,,,
220.208,Asa Norte, Brasília,33,,,
540.000,CA 9, Lago Norte,68,2,2,2
470.000,Rua 8 Chácara 230A, Setor Habitacional Vicente Pires,90,2,1,2
330.000,AR 17 Conjunto 6, Setor Oeste,176,3,2,4
320.000,QNM 21 Conjunto G, Ceilandia Sul,100,3,4,2
310.000,Quadra 102 Conjunto 2, Samambaia Sul,59,2,1,2
1.807.113,SQN 114 Bloco C, Asa Norte,127 - 250 m²,3,2 - 3,4
474.706,Avenida Parque Águas Claras, Sul,67 - 185 m²,2 - 3,2,2 - 3
314.764,SGAN 915, Asa Norte,24 - 504 m²,,,1
250.000,CA 11, Lago Norte,25,,1,1
3.172.581,SQNW 111 Bloco G, Setor Noroeste,292,4,4,4
120.000,Quadra 3 Conjunto A, Núcleo Bandeirante,36,1,,1
310.000,Quadra 102 Conjunto 2, Samambaia Sul,59,2,1,2
330.000,Quadra 102 Conjunto 2, Samambaia Sul,59,2,1,2
250.000,QI, Setor Industrial,52,2,1,1
250.000,QN 7F Conjunto 5, Riacho Fundo II,130,4,2,2
395.000,QNP 30, Ceilandia Sul,135,3,3,3
28.900,Rodovia DF-130 Km, Area Rural de Sao Sebastiao,375,,,
740.000,Rua Refazenda, Ponte Alta Norte,850,4,3,7
180.000,QR 513 Conjunto 8, Samambaia Sul,70,3,5,1
96.000,Rua 1, Condominio Prive Lucena Roriz,180,3,2,1
250.000,QI 24, Taguatinga Norte,52,2,1,2
350.000,Quadra 103, Recanto das Emas,150,3,3,2
460.000,Área Especial 2-A Módulo I, Guara II,57,2,1,2
420.000,Quadra 31, Gama,231,3,3,3
1.790.000,Condomínio Privê Morada Sul Etapa C, Lago Sul,530,4,6,8
180.000,Quadra 104 Conjunto 6, Recanto das Emas,150,3,,2
410.000,QR 204 Conjunto 14, Samambaia Norte,180,4,3,2
